,Supplier Name,Name,Supplier Mobile,Company Type,O Address,O City,O Street,O State,O Pincode,Kyc Verified,Gstin,manufacturing_process,manufacturing_sub_process,machine_name,id,Maximum Turning Diameter in mm,Maximum Turning Length in mm,Brand,Quantity (No. of Machines),Bed Size - X in mm,Bed Size - Y in mm,No of Axes,Bed Size - Z in mm,Quantity,Swing over bed in mm(Maximum Diameter),Distance between Centres in mm (Maximum Length),Minimum Drill Diameter in mm,Minimum Drill length in mm,Maximum Drill Diameter in mm,Maximum Drill length in mm,Tonnage,Working Length in mm,Type of Gas used,Minimum cutting thickness in mm,Maximum cutting thickness in mm,Strokes per minute (SPM),Coil Feedeer (Yes/No),Layer Thickness in mm,Accuracy,Minimum Tap size in mm,Maximum Tap length in mm,Maximum Tap size in mm,Minimum Tap length in mm,Minimum Opening in inch,Minimum injection pressure in PSI,Maximum Opening in inch,Maximum shot weight in grams,Machine Orientation,Maximum injection pressure in PSI,Maximum Stroke in inch,Capacity in Tonnage,Actuation Type,Clamping Force,Minimum shot weight in grams,Minimum Stroke in inch,Max MS Thickness (O2) in mm,Max SS Thickness (N2) in mm,Max Brass Thickness in mm,Dual Pallet Changer (Yes/No),Max Aluminium Thickness (N2) in mm,Max MS Thickness (N2) in mm,Max Copper Thickness in mm
10,Karkhana User,admin@adityainc.com,9909898899,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ADROIT TECHNOLOGIESS,adroittechnologiesscoimbatore@gmail.com,918838565619,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ADVANTECH ENGINEERING COMPONENTS P. LTD.,advantechthane@gmail.com,919819020342,Manufacturer,"PLOT NO. 267, K. K. INDUSTRIAL ESTATE, POKHRAN ROAD NO. 1",THANE,"UPVAN,",MAHARASHTRA,400606,0,27AAHCA0441P1ZJ,CNC Machining,Turning,Conventional Lathe,a6a2b27b-061a-4d14-9c60-1527b737529a,200.0,400.0,MIX OF INDIAN BRANDS,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ADVITHIYA INDUSTRIES,advithiyaindustries@gmail.com,918553355863,Manufacturer,"#33, Vinayaka layout, Chethan circle",Bangalore,Andrahalli main road,Karnataka,560091,0,29ABOFA5085A1ZD,CNC Machining,CNC Machining,Vertical Milling Centre,47fff5ca-b809-4234-9d86-75247be6295e,,,BFW,1,800.0,500.0,4,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ADVITHIYA INDUSTRIES,advithiyaindustries@gmail.com,918553355863,Manufacturer,"#33, Vinayaka layout, Chethan circle",Bangalore,Andrahalli main road,Karnataka,560091,0,29ABOFA5085A1ZD,CNC Machining,CNC Machining,Vertical Milling Centre,048b9d99-db4f-4dc5-822f-8f2de55a11ec,,,JYOTHI,1,400.0,300.0,3,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ADVITHIYA INDUSTRIES,advithiyaindustries@gmail.com,918553355863,Manufacturer,"#33, Vinayaka layout, Chethan circle",Bangalore,Andrahalli main road,Karnataka,560091,0,29ABOFA5085A1ZD,CNC Machining,CNC Machining,CNC Turning Lathe,51d006ee-5b5f-4f1a-8124-35b6d2db100e,150.0,300.0,ACE,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ADVITHIYA INDUSTRIES,advithiyaindustries@gmail.com,918553355863,Manufacturer,"#33, Vinayaka layout, Chethan circle",Bangalore,Andrahalli main road,Karnataka,560091,0,29ABOFA5085A1ZD,CNC Machining,CNC Machining,CNC Turning Lathe,b26e0796-feed-456a-b138-f3465a1d2541,180.0,300.0,ACE DESIGNERS,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Freelancer ,adyota.shanbhag@gmail.com,919970132050,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,AEROSAPIEN,aerosapien.co.in@gmail.com,9035744541,Manufacturer,#15/13 DODDAMALLAPPA LAYOUT,BANGALORE,#15/13 DODDAMALLAPPA LAYOUT,Karnataka,560073,0,29DRIPR3631C1ZP,CNC Machining,CNC Machining,Vertical Milling Centre,0ecb5eb8-68a5-4b79-8fff-d68ae9671dd6,,,COSMOS,1,1000.0,500.0,3,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,AEROSAPIEN,aerosapien.co.in@gmail.com,9035744541,Manufacturer,#15/13 DODDAMALLAPPA LAYOUT,BANGALORE,#15/13 DODDAMALLAPPA LAYOUT,Karnataka,560073,0,29DRIPR3631C1ZP,CNC Machining,CNC Machining,Vertical Milling Centre,59221f1e-2415-41bb-b942-8be3779f5ed4,,,COSMOS,1,800.0,500.0,3,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,AEROTIVE,aerotive072018@gmail.com,918971106193,Manufacturer,#32 9th Cross Peenya 4Th phase  Peenya Industrial Area Bangalore-560058,Bangalore,Peenya Industrial Area (Ganapathi Nagar),Karnataka ,560058,0,29ABMFA0961F1ZE,CNC Machining,CNC Machining,CNC Turning Lathe,14a7b2f0-d817-4b36-871d-6e96d2ee294e,350.0,650.0,ACE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,AEROTIVE,aerotive072018@gmail.com,918971106193,Manufacturer,#32 9th Cross Peenya 4Th phase  Peenya Industrial Area Bangalore-560058,Bangalore,Peenya Industrial Area (Ganapathi Nagar),Karnataka ,560058,0,29ABMFA0961F1ZE,CNC Machining,CNC Machining,CNC Turning Lathe,ad1cdafb-832f-46d5-9f02-de3bb4cfc7dc,250.0,350.0,ACE ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,AEROTIVE,aerotive072018@gmail.com,918971106193,Manufacturer,#32 9th Cross Peenya 4Th phase  Peenya Industrial Area Bangalore-560058,Bangalore,Peenya Industrial Area (Ganapathi Nagar),Karnataka ,560058,0,29ABMFA0961F1ZE,CNC Machining,CNC Machining,Vertical Milling Centre,34115a93-a06f-4ddc-a3fd-f076521dd271,,,BFW XTRON 955,1,900.0,500.0,3 AXIS,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,AEROTIVE,aerotive072018@gmail.com,918971106193,Manufacturer,#32 9th Cross Peenya 4Th phase  Peenya Industrial Area Bangalore-560058,Bangalore,Peenya Industrial Area (Ganapathi Nagar),Karnataka ,560058,0,29ABMFA0961F1ZE,CNC Machining,CNC Machining,Vertical Milling Centre,d9f2e004-7182-4e47-93f9-7f1ae5010a46,,,BFW XTRON 544,1,500.0,400.0,3 AXES,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,AEROTIVE,aerotive072018@gmail.com,918971106193,Manufacturer,#32 9th Cross Peenya 4Th phase  Peenya Industrial Area Bangalore-560058,Bangalore,Peenya Industrial Area (Ganapathi Nagar),Karnataka ,560058,0,29ABMFA0961F1ZE,CNC Machining,CNC Machining,Vertical Milling Centre,adf81f72-ccda-4bbc-8364-a85a0d036aa2,,,FEELER VMP-32 (FEG),1,800.0,510.0,4 AXES,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,AEROTIVE,aerotive072018@gmail.com,918971106193,Manufacturer,#32 9th Cross Peenya 4Th phase  Peenya Industrial Area Bangalore-560058,Bangalore,Peenya Industrial Area (Ganapathi Nagar),Karnataka ,560058,0,29ABMFA0961F1ZE,CNC Machining,Turning,Conventional Lathe,1f42f3aa-b6a1-4ec3-8cdc-3efec01cda4a,450.0,1200.0,BALAJI NO-2 MT-4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,AEROTIVE,aerotive072018@gmail.com,918971106193,Manufacturer,#32 9th Cross Peenya 4Th phase  Peenya Industrial Area Bangalore-560058,Bangalore,Peenya Industrial Area (Ganapathi Nagar),Karnataka ,560058,0,29ABMFA0961F1ZE,CNC Machining,Turning,Conventional Lathe,27e007aa-5173-431f-a908-5d8305665800,250.0,650.0,BALAJI SMALL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,AEROTIVE,aerotive072018@gmail.com,918971106193,Manufacturer,#32 9th Cross Peenya 4Th phase  Peenya Industrial Area Bangalore-560058,Bangalore,Peenya Industrial Area (Ganapathi Nagar),Karnataka ,560058,0,29ABMFA0961F1ZE,CNC Machining,Turning,Conventional Lathe,5f40f8ff-394b-4ff3-8dc7-3ca35d6d808d,450.0,700.0,BALAJI NO-1 MT-4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,AEROTIVE,aerotive072018@gmail.com,918971106193,Manufacturer,#32 9th Cross Peenya 4Th phase  Peenya Industrial Area Bangalore-560058,Bangalore,Peenya Industrial Area (Ganapathi Nagar),Karnataka ,560058,0,29ABMFA0961F1ZE,CNC Machining,Grinding,Cylindrical Grinding,bcc05249-4a5a-465e-9afe-ab209328feb2,,,HI-LIFE (CONVENTIONAL GRINIDING),1,300.0,850.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,AEROTIVE,aerotive072018@gmail.com,918971106193,Manufacturer,#32 9th Cross Peenya 4Th phase  Peenya Industrial Area Bangalore-560058,Bangalore,Peenya Industrial Area (Ganapathi Nagar),Karnataka ,560058,0,29ABMFA0961F1ZE,CNC Machining,Grinding,Cylindrical Grinding,4c8cfe5e-78fe-4ee7-8639-081ea3ce41c0,,,PARISHUD (CONVENTIONAL GRINDING),1,200.0,450.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,AEROTIVE,aerotive072018@gmail.com,918971106193,Manufacturer,#32 9th Cross Peenya 4Th phase  Peenya Industrial Area Bangalore-560058,Bangalore,Peenya Industrial Area (Ganapathi Nagar),Karnataka ,560058,0,29ABMFA0961F1ZE,CNC Machining,Grinding,Surface Grinding,ae7b6cbd-531b-42e6-8936-8d45c7c13542,,,PRAGA-INDIA,1,450.0,150.0,,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,AEROTIVE AXIS,aerotiveaxis@gmail.com,919060386660,,,,,,,0,,CNC Machining,CNC Machining,Vertical Milling Centre,f2a8ecb7-39e6-4b33-8609-448c5f729d0c,,,HASS,1,1270.0,510.0,4,635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,AEROTIVE AXIS,aerotiveaxis@gmail.com,919060386660,,,,,,,0,,CNC Machining,CNC Machining,Vertical Milling Centre,a574cc15-dfe4-498f-a6cb-be0a4fdd8851,,,HASS,1,760.0,410.0,3,410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,AEROTIVE AXIS,aerotiveaxis@gmail.com,919060386660,,,,,,,0,,CNC Machining,CNC Machining,Vertical Milling Centre,0b788129-6327-44d2-b56f-4f4aee14bcfc,,,AMS,1,760.0,410.0,4,410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,AEROTIVE AXIS,aerotiveaxis@gmail.com,919060386660,,,,,,,0,,CNC Machining,CNC Machining,Vertical Milling Centre,789469cf-1558-4729-8e55-fa7acd08c73e,,,BFW,1,600.0,350.0,3,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Vandana Industrial Agencies ,ajvia.kop@gmail.com,9423040473,Property ,"25/2 , Y P Powarnagar ",Kolhapur ,Jawahar Nagar Road,Maharashtra ,416008,0,27ARCPJ8666L1Z6 ,CNC Machining,CNC Machining,CNC Turning,b02aa18a-592b-4dea-9b66-0d8b9d359d4f,,,LMW,,,,2,,1,150.0,350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Akaar Founders Pvt Ltd,akaarfounders@hotmail.com,919448366355,,,,,,,0,,CNC Machining,Turning,VTL,846a78ab-8d3d-4701-8272-e6490321fe34,1000.0,900.0,ACE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Akaar Founders Pvt Ltd,akaarfounders@hotmail.com,919448366355,,,,,,,0,,CNC Machining,CNC Machining,CNC Sliding Bed,3b25c3f1-18a8-44e4-8dc5-06fe2be298bc,200.0,250.0,Galaxy,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Akaar Founders Pvt Ltd,akaarfounders@hotmail.com,919448366355,,,,,,,0,,CNC Machining,Turning,CNC Turning Lathe,1632a714-a783-4c39-89bc-dd5e3f00bece,300.0,350.0,ACE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Akaar Founders Pvt Ltd,akaarfounders@hotmail.com,919448366355,,,,,,,0,,CNC Machining,CNC Machining,CNC Sliding Head,999fbe35-0be5-422d-9475-3c32837bfc94,250.0,330.0,ACE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Akaar Founders Pvt Ltd,akaarfounders@hotmail.com,919448366355,,,,,,,0,,CNC Machining,CNC Machining,CNC Sliding Head,a5e0a561-9566-442b-9a08-0c949c463f34,250.0,200.0,MARSHELL,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Akash Industries,akashindustriesrpt@gmail.com,919952170052,Manufacturer,"468/7 ,New Agravaram",Ranipet,,Tamilnadu,632405,0,33AAKFA8322M1ZB,Fabrication,Fabrication,CO2,6a93a232-273d-4219-bd6c-b64a952be39c,,,GB kore arc,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Akash Industries,akashindustriesrpt@gmail.com,919952170052,Manufacturer,"468/7 ,New Agravaram",Ranipet,,Tamilnadu,632405,0,33AAKFA8322M1ZB,Fabrication,Fabrication,Oxy Fuel,f0c00936-c870-4956-9b07-177f7c27f6f5,,,Esab,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Akash Industries,akashindustriesrpt@gmail.com,919952170052,Manufacturer,"468/7 ,New Agravaram",Ranipet,,Tamilnadu,632405,0,33AAKFA8322M1ZB,CNC Machining,Drilling,Pillar Type Drilling,2326dbee-3243-4e9f-90da-a468639dd176,,,Rajkot,2,,,,,,,,6.0,50.0,25.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Akash Industries,akashindustriesrpt@gmail.com,919952170052,Manufacturer,"468/7 ,New Agravaram",Ranipet,,Tamilnadu,632405,0,33AAKFA8322M1ZB,CNC Machining,Drilling,Radial Drilling,fcdbcb74-c38c-4893-9890-890351ca70c4,,,HPT,1,,,,,,,,8.0,50.0,50.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Akash Industries,akashindustriesrpt@gmail.com,919952170052,Manufacturer,"468/7 ,New Agravaram",Ranipet,,Tamilnadu,632405,0,33AAKFA8322M1ZB,Fabrication,Fabrication,CO2,460987da-9415-443d-bbfd-1fbd12f31728,,,SAI,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Akshara Enterprises,aksharaenterprises002@gmail.com,919322070237,Manufacturer,"PAP 110,MIDC,AMBAD,NASHIK",NASHIK,MIDC AMBAD,MAHARASHTRA,422010,0,27ETUPS7338A1Z3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Akshar engineers ,akshareng1990@gmail.com,919558140250,Manufacturer,plot.no 7 ,rajkot,survey no 207,gujrat,360024,0,24ABGFA182N2Z7,CNC Machining,CNC Machining,Vertical Milling Centre,3ffcdc19-a27e-4566-a3ef-69c695d06882,,,cosmos,14,1250.0,600.0,3,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Akshar engineers ,akshareng1990@gmail.com,919558140250,Manufacturer,plot.no 7 ,rajkot,survey no 207,gujrat,360024,0,24ABGFA182N2Z7,CNC Machining,CNC Machining,CNC Turning Lathe,63222626-f614-4557-a545-5826af9a788a,800.0,2100.0,MICRON,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Akshar engineers ,akshareng1990@gmail.com,919558140250,Manufacturer,plot.no 7 ,rajkot,survey no 207,gujrat,360024,0,24ABGFA182N2Z7,Casting,Casting,Investing Casting,39482ad2-ac25-4305-a179-6bc5f75f49c0,,,A,ALL SIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Karkhana User,akshaycastings@rediffmail.com,8149026999 ,,,,,,,0,,Casting,Casting,Gravity Die Casting,4a78f1b7-7344-4e99-bcaa-fb910a0acf93,,,NA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Karkhana User,akshaycastings@rediffmail.com,8149026999 ,,,,,,,0,,Casting,Casting,Horizontal Chamber Pressure die casting,851b1708-5d15-4dcd-94f1-26ef81902480,,,Na,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,P M tools and Components,akshaykumar.naik@pmtools.co.in,9886014965,Manufacturing,"#325-E, 2nd Phase,",Ramanagar,,Karanataka,562112,0,29AALFP5302P1ZO,Sheet Metal,Sheet Metal,CNC Press Break (Bending),c441dbd3-5067-4d6e-a7ff-8842662a5b3a,,,JFY,2,,,,,,,,,,,,150,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,P M tools and Components,akshaykumar.naik@pmtools.co.in,9886014965,Manufacturing,"#325-E, 2nd Phase,",Ramanagar,,Karanataka,562112,0,29AALFP5302P1ZO,Sheet Metal,Cutting,Laser Cutting,c29a2890-2006-462d-9b47-891f96e766ec,,,JFY,1,1000.0,2000.0,,,,,,,,,,,,Co2 and N2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,P M tools and Components,akshaykumar.naik@pmtools.co.in,9886014965,Manufacturing,"#325-E, 2nd Phase,",Ramanagar,,Karanataka,562112,0,29AALFP5302P1ZO,Sheet Metal,Sheet Metal,Pneumatic Press Machine,94f982a0-75a8-4402-9e66-201b0a86d302,,,SEW,34,,,,,,,,,,,,10 to 200,,,,,3 to 20,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
55,P M tools and Components,akshaykumar.naik@pmtools.co.in,9886014965,Manufacturing,"#325-E, 2nd Phase,",Ramanagar,,Karanataka,562112,0,29AALFP5302P1ZO,Sheet Metal,Sheet Metal,Riveting,55e3e0f9-4903-4c38-8a9a-fa6859f5df8a,,,SEW,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,P M tools and Components,akshaykumar.naik@pmtools.co.in,9886014965,Manufacturing,"#325-E, 2nd Phase,",Ramanagar,,Karanataka,562112,0,29AALFP5302P1ZO,Sheet Metal,Sheet Metal,Clinching,f33253ac-9003-4533-bb82-20417d9c7012,,,PM tool,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,P M tools and Components,akshaykumar.naik@pmtools.co.in,9886014965,Manufacturing,"#325-E, 2nd Phase,",Ramanagar,,Karanataka,562112,0,29AALFP5302P1ZO,Fabrication,Fabrication,CO2,7dcda93d-e2da-421e-90ad-ab4939607e75,,,#,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,P M tools and Components,akshaykumar.naik@pmtools.co.in,9886014965,Manufacturing,"#325-E, 2nd Phase,",Ramanagar,,Karanataka,562112,0,29AALFP5302P1ZO,CNC Machining,EDM,Wirecutting,21b50d07-4ca9-42da-be3f-24fa5ec987b3,,,Sonic,1,300.0,350.0,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,P M tools and Components,akshaykumar.naik@pmtools.co.in,9886014965,Manufacturing,"#325-E, 2nd Phase,",Ramanagar,,Karanataka,562112,0,29AALFP5302P1ZO,CNC Machining,CNC Machining,Horizontal Milling Centre,dc16cbb4-0e80-4b60-aaf0-4c92308b4e1d,,,BFW,1,600.0,1200.0,3,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Dongguan HAOJIA Hardware Electronics Co., Ltd",alice@haojiamfg.com,8613650289225,Manufacturer,"NO.5, Hongmian Road, Shangjiao Community, Changan Town,Dongguan City, China",Dongguan,,China,523930,0,,CNC Machining,Turning,VTL,4028422a-c078-42a3-a7af-2462cc679544,600.0,1000.0,Jeason,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Karkhana User,alok@induthermoformers.com, 9920290263,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Alpha Corporation,alphacorps21@gmail.com,918983436163,Manufacturer,"Shop no.5B Sagar complex sahyog nagar,talwade",Pune,Talwade road,Maharashtra ,411062,0,27ALWPS0763K1Z9,Sheet Metal,Cutting,Laser Cutting,2054d5b2-ad97-42aa-9493-70a3c89b78ce,,,Hsg,2,2000.0,6000.0,,,,,,,,,,,,"Oxygen, nitrogen ",1.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Alpha Corporation,alphacorps21@gmail.com,918983436163,Manufacturer,"Shop no.5B Sagar complex sahyog nagar,talwade",Pune,Talwade road,Maharashtra ,411062,0,27ALWPS0763K1Z9,Sheet Metal,Cutting,Plasma Cutting,2906c43c-5800-48e0-8c03-3871db067f29,,,Local,1,2000.0,4000.0,,,,,,,,,,,,,1.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Alpha Corporation,alphacorps21@gmail.com,918983436163,Manufacturer,"Shop no.5B Sagar complex sahyog nagar,talwade",Pune,Talwade road,Maharashtra ,411062,0,27ALWPS0763K1Z9,Sheet Metal,Sheet Metal,CNC Press Break (Bending),ac31bd80-f5ed-4397-86be-90ddb018f0f1,,,Hindustan ,1,,,,,,,,,,,,200,6000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Alpha Corporation,alphacorps21@gmail.com,918983436163,Manufacturer,"Shop no.5B Sagar complex sahyog nagar,talwade",Pune,Talwade road,Maharashtra ,411062,0,27ALWPS0763K1Z9,CNC Machining,Turning,Conventional Lathe,187560e5-2738-4869-85bb-51da2cd83de3,400.0,1000.0,Mihir,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
